algorithm,beta,condition,entropic_risk
PPO,5,no_rain,0.7082977108646852
PPO,5,slight_rain,0.4138324365452717
PPO,5,heavy_rain,0.3405495344960755
PPO,5,town02,0.33984491742394396
PPO,5,town03,0.4580444907626373
PPO,10,no_rain,0.5189495661464922
PPO,10,slight_rain,0.35255669467435946
PPO,10,heavy_rain,0.32251777580280333
PPO,10,town02,0.3090436336391595
PPO,10,town03,0.3521290896043754
SAC,5,no_rain,0.5172360024824333
SAC,5,slight_rain,0.31374834580503824
SAC,5,heavy_rain,0.3103867882691847
SAC,5,town02,0.29389822329228227
SAC,5,town03,0.31578455483319967
SAC,10,no_rain,0.346085099073896
SAC,10,slight_rain,0.30297879825152957
SAC,10,heavy_rain,0.30884199482995883
SAC,10,town02,0.23960721542329086
SAC,10,town03,0.2656708999653092
